day	habitat	location	ID	status	time	timeday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber9	0	120	morning
8/15/2023	urban 	ciudad del saber	saber10	1	5	morning
8/15/2023	urban 	ciudad del saber	saber10	1	15	morning
8/15/2023	urban 	ciudad del saber	saber10	1	40	morning
8/15/2023	urban 	ciudad del saber	saber10	1	40	morning
8/15/2023	urban 	ciudad del saber	saber10	1	45	morning
8/15/2023	urban 	ciudad del saber	saber10	1	65	morning
8/15/2023	urban 	ciudad del saber	saber10	1	70	morning
8/15/2023	urban 	ciudad del saber	saber10	1	90	morning
